station,longitude,latitude,number samples
2,-80.105,25.642,15
3,-80.08333333,25.645,3
7,-80.757,24.821,24
10,-80.860,24.788,18
12,-80.83166667,24.71333333,9
16,-81.18333333,24.59833333,6
18,-81.18333333,24.59833333,3
22,-81.82833333,24.455,3
24,-81.82833333,24.53666667,6
30,-82.210,25.402,76
31,-81.943,25.742,33
32,-81.83333333,25.87333333,3
33,-81.800,25.912,24
41,-81.575,25.733,45
45,-81.471,25.584,21
48,-81.330,25.583,9
49,-81.292,25.583,30
51,-81.308,25.453,24
53,-81.225,25.453,6
54,-81.153,25.345,48
55,-81.193,25.350,18
57,-81.265,25.352,45
57.2,-81.490,25.352,39
57.3,-81.653,25.352,21
58,-81.653,25.167,30
60,-81.336,25.167,9
62,-81.235,25.16666667,15
64,-81.15666667,25.16666667,21
65,-81.093,25.102,24
68,-81.167,24.930,37
AM2,-82.8466715,27.45861317,3
AMI2,-82.7506,27.4973,3
AMI5,-83.1272,27.3433,3
AMI9,-83.5039,27.1892,3
BG2,-82.33955,26.68861667,3
BG3,-82.41701667,26.66795,6
BG4,-82.55638333,26.63065,3
CAL1,-81.96011167,26.42617899,9
CAL3,-82.0435963,26.34159474,7
CAL5,-82.21668477,26.18300189,9
CAL6,-82.48,25.94,9
CW2,-82.89576667,28.01558333,6
CW4,-83.07925,28.01163333,3
EB1,-82.38468233,26.92282933,3
GP5,-82.69575,26.59564,15
KW1,-81.904,24.653896,9
kw2,-81.916666,24.72776,6
KW4,-82.041,25.014205,9
LK,-81.413,24.538,96
MR,-80.380,25.010,91
RP1,-82.21992833,26.54546333,9
RP2,-82.26643517,26.552,6
RP3,-82.33209333,26.54958333,18
RP4,-82.496857,26.5769135,9
TB1,-82.8822,27.80121667,9
TB2,-82.92785,27.73955,6
TB4,-83.13333867,27.6186485,6
TB5,-83.29981667,27.61708333,6
TB6,-82.8562,27.83923333,6
V2,-82.54634167,27.07390533,6
V5,-82.750205,26.96038667,6
WS,-81.717,24.478,101
Z04-068,-82.31766667,26.42378667,9
