eventID,parentEventID,eventDate,habitat,country,locality,site,strata,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,geodeticDatum,pictureID
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105,"",2018-11-05,Rocky Shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,"",-65.00171,-42.77986,5,WGS84,
ARGENTINA_PUERTOMADRYN_PUNTAESTE_20181025,"",2018-10-25,Rocky Shore,ARGENTINA,PUERTO MADRYN,PUNTA ESTE,"",-64.95264,-42.78511,5,WGS84,
ARGENTINA_PUERTOMADRYN_PUNTALOMA_20181026,"",2018-10-26,Rocky Shore,ARGENTINA,PUERTO MADRYN,PUNTA LOMA,"",-64.9017,-42.8112,7,WGS84,
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105,2018-11-05,Rocky Shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,-65.00171,-42.77986,5,WGS84,
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_LOWTIDE,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105,2018-11-05,Rocky Shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,LOWTIDE,-65.00171,-42.77986,5,WGS84,
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_MIDTIDE,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105,2018-11-05,Rocky Shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,MIDTIDE,-65.00171,-42.77986,5,WGS84,
ARGENTINA_PUERTOMADRYN_PUNTAESTE_20181025_HIGHTIDE,ARGENTINA_PUERTOMADRYN_PUNTAESTE_20181025,2018-10-25,Rocky Shore,ARGENTINA,PUERTO MADRYN,PUNTA ESTE,HIGHTIDE,-64.95264,-42.78511,5,WGS84,
ARGENTINA_PUERTOMADRYN_PUNTAESTE_20181025_LOWTIDE,ARGENTINA_PUERTOMADRYN_PUNTAESTE_20181025,2018-10-25,Rocky Shore,ARGENTINA,PUERTO MADRYN,PUNTA ESTE,LOWTIDE,-64.95264,-42.78511,5,WGS84,
ARGENTINA_PUERTOMADRYN_PUNTAESTE_20181025_MIDTIDE,ARGENTINA_PUERTOMADRYN_PUNTAESTE_20181025,2018-10-25,Rocky Shore,ARGENTINA,PUERTO MADRYN,PUNTA ESTE,MIDTIDE,-64.95264,-42.78511,5,WGS84,
ARGENTINA_PUERTOMADRYN_PUNTALOMA_20181026_HIGHTIDE,ARGENTINA_PUERTOMADRYN_PUNTALOMA_20181026,2018-10-26,Rocky Shore,ARGENTINA,PUERTO MADRYN,PUNTA LOMA,HIGHTIDE,-64.9017,-42.8112,6,WGS84,
ARGENTINA_PUERTOMADRYN_PUNTALOMA_20181026_LOWTIDE,ARGENTINA_PUERTOMADRYN_PUNTALOMA_20181026,2018-10-26,Rocky Shore,ARGENTINA,PUERTO MADRYN,PUNTA LOMA,LOWTIDE,-64.9017,-42.8112,8,WGS84,
ARGENTINA_PUERTOMADRYN_PUNTALOMA_20181026_MIDTIDE,ARGENTINA_PUERTOMADRYN_PUNTALOMA_20181026,2018-10-26,Rocky Shore,ARGENTINA,PUERTO MADRYN,PUNTA LOMA,MIDTIDE,-64.9017,-42.8112,7,WGS84,
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R001,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE,2018-11-05,Rocky Shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,,,WGS84,""
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE,2018-11-05,Rocky Shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,,,WGS84,""
