eventID,parentEventID,eventDate,habitat,country,locality,site,strata,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,geodeticDatum,pictureID
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025,,10/25/2018,Rocky Shore,BRAZIL,APA COSTA DAS ALGAS,COSTA BELA,,-40.1752,-20.0726,5,WGS84,
BRAZIL_APACOSTADASALGAS_ENSEADADASGARCAS_20181024,,10/24/2018,Rocky Shore,BRAZIL,APA COSTA DAS ALGAS,ENSEADA DAS GARCAS,,-40.164,-20.0369,5,WGS84,
BRAZIL_APACOSTADASALGAS_GRAMUTE_20181009,,10/9/2018,Rocky Shore,BRAZIL,APA COSTA DAS ALGAS,GRAMUTE,,-40.134,-19.9663,5,WGS84,
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025,10/25/2018,Rocky Shore,BRAZIL,APA COSTA DAS ALGAS,COSTA BELA,HIGHTIDE,-40.1752,-20.0726,5,WGS84,
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_LOWTIDE,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025,10/25/2018,Rocky Shore,BRAZIL,APA COSTA DAS ALGAS,COSTA BELA,LOWTIDE,-40.1752,-20.0726,5,WGS84,
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_MIDTIDE,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025,10/25/2018,Rocky Shore,BRAZIL,APA COSTA DAS ALGAS,COSTA BELA,MIDTIDE,-40.1752,-20.0726,5,WGS84,
BRAZIL_APACOSTADASALGAS_ENSEADADASGARCAS_20181024_HIGHTIDE,BRAZIL_APACOSTADASALGAS_ENSEADADASGARCAS_20181024,10/24/2018,Rocky Shore,BRAZIL,APA COSTA DAS ALGAS,ENSEADA DAS GARCAS,HIGHTIDE,-40.164,-20.0369,5,WGS84,
BRAZIL_APACOSTADASALGAS_ENSEADADASGARCAS_20181024_LOWTIDE,BRAZIL_APACOSTADASALGAS_ENSEADADASGARCAS_20181024,10/24/2018,Rocky Shore,BRAZIL,APA COSTA DAS ALGAS,ENSEADA DAS GARCAS,LOWTIDE,-40.164,-20.0369,5,WGS84,
BRAZIL_APACOSTADASALGAS_ENSEADADASGARCAS_20181024_MIDTIDE,BRAZIL_APACOSTADASALGAS_ENSEADADASGARCAS_20181024,10/24/2018,Rocky Shore,BRAZIL,APA COSTA DAS ALGAS,ENSEADA DAS GARCAS,MIDTIDE,-40.164,-20.0369,5,WGS84,
BRAZIL_APACOSTADASALGAS_GRAMUTE_20181009_HIGHTIDE,BRAZIL_APACOSTADASALGAS_GRAMUTE_20181009,10/9/2018,Rocky Shore,BRAZIL,APA COSTA DAS ALGAS,GRAMUTE,HIGHTIDE,-40.134,-19.9663,5,WGS84,
BRAZIL_APACOSTADASALGAS_GRAMUTE_20181009_LOWTIDE,BRAZIL_APACOSTADASALGAS_GRAMUTE_20181009,10/9/2018,Rocky Shore,BRAZIL,APA COSTA DAS ALGAS,GRAMUTE,LOWTIDE,-40.134,-19.9663,5,WGS84,
BRAZIL_APACOSTADASALGAS_GRAMUTE_20181009_MIDTIDE,BRAZIL_APACOSTADASALGAS_GRAMUTE_20181009,10/9/2018,Rocky Shore,BRAZIL,APA COSTA DAS ALGAS,GRAMUTE,MIDTIDE,-40.134,-19.9663,5,WGS84,
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE,10/25/2018,Rocky Shore,BRAZIL,APA COSTA DAS ALGAS,COSTA BELA,HIGHTIDE,,,,,
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R002,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE,10/25/2018,Rocky Shore,BRAZIL,APA COSTA DAS ALGAS,COSTA BELA,HIGHTIDE,,,,,
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R003,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE,10/25/2018,Rocky Shore,BRAZIL,APA COSTA DAS ALGAS,COSTA BELA,HIGHTIDE,,,,,
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R004,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE,10/25/2018,Rocky Shore,BRAZIL,APA COSTA DAS ALGAS,COSTA BELA,HIGHTIDE,,,,,
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R005,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE,10/25/2018,Rocky Shore,BRAZIL,APA COSTA DAS ALGAS,COSTA BELA,HIGHTIDE,,,,,
