eventID,parentEventID,eventDate,habitat,country,locality,site,strata,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,geodeticDatum,pictureID
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013,,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,,-78.198467,2.95695,,WGS84,LM-MZ-Q01
COLOMBIA_ISLAGORGONA_LAMANCORA_20181014,,14/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,,-78.198567,2.955083,,WGS84,LM-HZ-Q01
COLOMBIA_ISLAGORGONA_LAVENTANA_20181010,,10/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA VENTANA,,-78.203117,2.934317,,WGS84,LV-HZ-Q01
COLOMBIA_ISLAGORGONA_LAVENTANA_20181011,,11/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA VENTANA,,-78.203117,2.934317,,WGS84,LV-LZ-Q01
COLOMBIA_ISLAGORGONA_PLAYAVERDE_20181012,,12/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,PLAYA VERDE,,-78.198133,2.947517,,WGS84,PV-HZ-Q01
COLOMBIA_ISLAGORGONA_PLAYAVERDE_20181014,,14/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,PLAYA VERDE,,-78.198133,2.947517,,WGS84,PV-LZ-Q01
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,LOWTIDE,-78.198467,2.95695,,WGS84,LM-LZ-Q01
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,MIDTIDE,-78.198467,2.95695,,WGS84,LM-MZ-Q01
COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE,COLOMBIA_ISLAGORGONA_LAMANCORA_20181014,14/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,HIGHTIDE,-78.198567,2.955083,,WGS84,LM-HZ-Q01
COLOMBIA_ISLAGORGONA_LAVENTANA_20181010_HIGHTIDE,COLOMBIA_ISLAGORGONA_LAVENTANA_20181010,10/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA VENTANA,HIGHTIDE,-78.203117,2.934317,,WGS84,LV-HZ-Q01
COLOMBIA_ISLAGORGONA_LAVENTANA_20181010_MIDTIDE,COLOMBIA_ISLAGORGONA_LAVENTANA_20181010,10/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA VENTANA,MIDTIDE,-78.203117,2.934317,,WGS84,LV-MZ-Q01
COLOMBIA_ISLAGORGONA_LAVENTANA_20181011_LOWTIDE,COLOMBIA_ISLAGORGONA_LAVENTANA_20181011,11/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA VENTANA,LOWTIDE,-78.203117,2.934317,,WGS84,LV-LZ-Q01
COLOMBIA_ISLAGORGONA_PLAYAVERDE_20181012_HIGHTIDE,COLOMBIA_ISLAGORGONA_PLAYAVERDE_20181012,12/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,PLAYA VERDE,HIGHTIDE,-78.198133,2.947517,,WGS84,PV-HZ-Q01
COLOMBIA_ISLAGORGONA_PLAYAVERDE_20181012_MIDTIDE,COLOMBIA_ISLAGORGONA_PLAYAVERDE_20181012,12/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,PLAYA VERDE,MIDTIDE,-78.198133,2.947517,,WGS84,PV-MZ-Q01
COLOMBIA_ISLAGORGONA_PLAYAVERDE_20181014_LOWTIDE,COLOMBIA_ISLAGORGONA_PLAYAVERDE_20181014,14/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,PLAYA VERDE,LOWTIDE,-78.198133,2.947517,,WGS84,PV-LZ-Q01
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R001,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,LOWTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R002,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,LOWTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R003,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,LOWTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R004,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,LOWTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R005,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,LOWTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R006,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,LOWTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R007,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,LOWTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R008,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,LOWTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R009,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,LOWTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R010,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,LOWTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE_R001,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,MIDTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE_R002,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,MIDTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE_R003,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,MIDTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE_R004,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,MIDTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE_R005,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,MIDTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE_R006,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,MIDTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE_R007,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,MIDTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE_R008,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,MIDTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE_R009,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,MIDTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE_R010,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_MIDTIDE,13/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,MIDTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R001,COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE,14/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,HIGHTIDE,,,,WGS84,
COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R002,COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE,14/10/2018,Rocky Shore,COLOMBIA,ISLA GORGONA,LA MANCORA,HIGHTIDE,,,,WGS84,
