eventID,parentEventID,eventDate,habitat,country,locality,site,strata,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,geodeticDatum,pictureID
USA_BIDDEFORD_BIDDEFORD_20180718,"",2018-07-18,Rocky Shore,USA,BIDDEFORD,BIDDEFORD,"",-70.343383,43.43986,0.05,WGS84,
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE,USA_BIDDEFORD_BIDDEFORD_20180718,2018-07-18,Rocky Shore,USA,BIDDEFORD,BIDDEFORD,HIGHTIDE,-70.343383,43.43986,0.05,WGS84,
USA_BIDDEFORD_BIDDEFORD_20180718_MIDTIDE,USA_BIDDEFORD_BIDDEFORD_20180718,2018-07-18,Rocky Shore,USA,BIDDEFORD,BIDDEFORD,MIDTIDE,-70.343383,43.43986,0.05,WGS84,
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R001,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE,2018-07-18,Rocky Shore,USA,BIDDEFORD,BIDDEFORD,HIGHTIDE,,,,WGS84,""
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R002,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE,2018-07-18,Rocky Shore,USA,BIDDEFORD,BIDDEFORD,HIGHTIDE,,,,WGS84,""
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R003,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE,2018-07-18,Rocky Shore,USA,BIDDEFORD,BIDDEFORD,HIGHTIDE,,,,WGS84,""
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R004,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE,2018-07-18,Rocky Shore,USA,BIDDEFORD,BIDDEFORD,HIGHTIDE,,,,WGS84,""
USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE_R005,USA_BIDDEFORD_BIDDEFORD_20180718_HIGHTIDE,2018-07-18,Rocky Shore,USA,BIDDEFORD,BIDDEFORD,HIGHTIDE,,,,WGS84,""
USA_BIDDEFORD_BIDDEFORD_20180718_MIDTIDE_R001,USA_BIDDEFORD_BIDDEFORD_20180718_MIDTIDE,2018-07-18,Rocky Shore,USA,BIDDEFORD,BIDDEFORD,MIDTIDE,,,,WGS84,""
USA_BIDDEFORD_BIDDEFORD_20180718_MIDTIDE_R002,USA_BIDDEFORD_BIDDEFORD_20180718_MIDTIDE,2018-07-18,Rocky Shore,USA,BIDDEFORD,BIDDEFORD,MIDTIDE,,,,WGS84,""
USA_BIDDEFORD_BIDDEFORD_20180718_MIDTIDE_R003,USA_BIDDEFORD_BIDDEFORD_20180718_MIDTIDE,2018-07-18,Rocky Shore,USA,BIDDEFORD,BIDDEFORD,MIDTIDE,,,,WGS84,""
USA_BIDDEFORD_BIDDEFORD_20180718_MIDTIDE_R004,USA_BIDDEFORD_BIDDEFORD_20180718_MIDTIDE,2018-07-18,Rocky Shore,USA,BIDDEFORD,BIDDEFORD,MIDTIDE,,,,WGS84,""
USA_BIDDEFORD_BIDDEFORD_20180718_MIDTIDE_R005,USA_BIDDEFORD_BIDDEFORD_20180718_MIDTIDE,2018-07-18,Rocky Shore,USA,BIDDEFORD,BIDDEFORD,MIDTIDE,,,,WGS84,""
