eventID,parentEventID,eventDate,habitat,country,locality,site,strata,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,geodeticDatum,pictureID
USA_CHAMBERLAIN_CHAMBERLAIN_20180718,"",2018-07-18,Rocky Shore,USA,CHAMBERLAIN,CHAMBERLAIN,"",-69.475932,43.884232,0.05,WGS84,
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE,USA_CHAMBERLAIN_CHAMBERLAIN_20180718,2018-07-18,Rocky Shore,USA,CHAMBERLAIN,CHAMBERLAIN,HIGHTIDE,-69.475932,43.884232,0.05,WGS84,
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_MIDTIDE,USA_CHAMBERLAIN_CHAMBERLAIN_20180718,2018-07-18,Rocky Shore,USA,CHAMBERLAIN,CHAMBERLAIN,MIDTIDE,-69.475932,43.884232,0.05,WGS84,
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R001,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE,2018-07-18,Rocky Shore,USA,CHAMBERLAIN,CHAMBERLAIN,HIGHTIDE,,,,WGS84,""
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R002,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE,2018-07-18,Rocky Shore,USA,CHAMBERLAIN,CHAMBERLAIN,HIGHTIDE,,,,WGS84,""
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R003,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE,2018-07-18,Rocky Shore,USA,CHAMBERLAIN,CHAMBERLAIN,HIGHTIDE,,,,WGS84,""
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R004,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE,2018-07-18,Rocky Shore,USA,CHAMBERLAIN,CHAMBERLAIN,HIGHTIDE,,,,WGS84,""
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE_R005,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_HIGHTIDE,2018-07-18,Rocky Shore,USA,CHAMBERLAIN,CHAMBERLAIN,HIGHTIDE,,,,WGS84,""
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_MIDTIDE_R001,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_MIDTIDE,2018-07-18,Rocky Shore,USA,CHAMBERLAIN,CHAMBERLAIN,MIDTIDE,,,,WGS84,""
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_MIDTIDE_R002,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_MIDTIDE,2018-07-18,Rocky Shore,USA,CHAMBERLAIN,CHAMBERLAIN,MIDTIDE,,,,WGS84,""
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_MIDTIDE_R003,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_MIDTIDE,2018-07-18,Rocky Shore,USA,CHAMBERLAIN,CHAMBERLAIN,MIDTIDE,,,,WGS84,""
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_MIDTIDE_R004,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_MIDTIDE,2018-07-18,Rocky Shore,USA,CHAMBERLAIN,CHAMBERLAIN,MIDTIDE,,,,WGS84,""
USA_CHAMBERLAIN_CHAMBERLAIN_20180718_MIDTIDE_R005,USA_CHAMBERLAIN_CHAMBERLAIN_20180718_MIDTIDE,2018-07-18,Rocky Shore,USA,CHAMBERLAIN,CHAMBERLAIN,MIDTIDE,,,,WGS84,""
USA_MAINE_CHAMBERLAIN_20180718_HIGHTIDE_R001,USA_MAINE_CHAMBERLAIN_20180718_HIGHTIDE,2018-07-18,Rocky Shore,USA,MAINE,CHAMBERLAIN,HIGHTIDE,,,,WGS84,""
USA_MAINE_CHAMBERLAIN_20180718_HIGHTIDE_R002,USA_MAINE_CHAMBERLAIN_20180718_HIGHTIDE,2018-07-18,Rocky Shore,USA,MAINE,CHAMBERLAIN,HIGHTIDE,,,,WGS84,""
USA_MAINE_CHAMBERLAIN_20180718_HIGHTIDE_R003,USA_MAINE_CHAMBERLAIN_20180718_HIGHTIDE,2018-07-18,Rocky Shore,USA,MAINE,CHAMBERLAIN,HIGHTIDE,,,,WGS84,""
USA_MAINE_CHAMBERLAIN_20180718_HIGHTIDE_R004,USA_MAINE_CHAMBERLAIN_20180718_HIGHTIDE,2018-07-18,Rocky Shore,USA,MAINE,CHAMBERLAIN,HIGHTIDE,,,,WGS84,""
USA_MAINE_CHAMBERLAIN_20180718_HIGHTIDE_R005,USA_MAINE_CHAMBERLAIN_20180718_HIGHTIDE,2018-07-18,Rocky Shore,USA,MAINE,CHAMBERLAIN,HIGHTIDE,,,,WGS84,""
