eventID,parentEventID,eventDate,habitat,country,locality,site,strata,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,geodeticDatum,pictureID
USA_GIANTSTAIRS_GIANTSTAIRS_20180716,"",2018-07-16,Rocky Shore,USA,GIANTSTAIRS,GIANTSTAIRS,"",-69.992314,43.725573,0.05,WGS84,
USA_GIANTSTAIRS_GIANTSTAIRS_20180716_HIGHTIDE,USA_GIANTSTAIRS_GIANTSTAIRS_20180716,2018-07-16,Rocky Shore,USA,GIANTSTAIRS,GIANTSTAIRS,HIGHTIDE,-69.992314,43.725573,0.05,WGS84,
USA_GIANTSTAIRS_GIANTSTAIRS_20180716_MIDTIDE,USA_GIANTSTAIRS_GIANTSTAIRS_20180716,2018-07-16,Rocky Shore,USA,GIANTSTAIRS,GIANTSTAIRS,MIDTIDE,-69.992314,43.725573,0.05,WGS84,
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R001,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE,2018-07-20,Rocky Shore,USA,GIANTSTAIRS,GIANTSTAIRS,HIGHTIDE,,,,WGS84,""
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R002,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE,2018-07-20,Rocky Shore,USA,GIANTSTAIRS,GIANTSTAIRS,HIGHTIDE,,,,WGS84,""
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R003,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE,2018-07-20,Rocky Shore,USA,GIANTSTAIRS,GIANTSTAIRS,HIGHTIDE,,,,WGS84,""
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R004,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE,2018-07-20,Rocky Shore,USA,GIANTSTAIRS,GIANTSTAIRS,HIGHTIDE,,,,WGS84,""
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE_R005,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_HIGHTIDE,2018-07-20,Rocky Shore,USA,GIANTSTAIRS,GIANTSTAIRS,HIGHTIDE,,,,WGS84,""
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE_R001,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE,2018-07-20,Rocky Shore,USA,GIANTSTAIRS,GIANTSTAIRS,MIDTIDE,,,,WGS84,""
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE_R002,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE,2018-07-20,Rocky Shore,USA,GIANTSTAIRS,GIANTSTAIRS,MIDTIDE,,,,WGS84,""
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE_R003,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE,2018-07-20,Rocky Shore,USA,GIANTSTAIRS,GIANTSTAIRS,MIDTIDE,,,,WGS84,""
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE_R004,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE,2018-07-20,Rocky Shore,USA,GIANTSTAIRS,GIANTSTAIRS,MIDTIDE,,,,WGS84,""
USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE_R005,USA_GIANTSTAIRS_GIANTSTAIRS_20180720_MIDTIDE,2018-07-20,Rocky Shore,USA,GIANTSTAIRS,GIANTSTAIRS,MIDTIDE,,,,WGS84,""
