eventID,parentEventID,eventDate,habitat,country,locality,site,strata,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,geodeticDatum,pictureID
USA_MAINE_GRINDSTONE_20180813,,8/13/2018,Rocky Shore,USA,MAINE,GRINDSTONE,,-68.092583,44.371417,,WGS84,
USA_MAINE_GRINDSTONE_20180813_HIGHTIDE,USA_MAINE_GRINDSTONE_20180813,8/13/2018,Rocky Shore,USA,MAINE,GRINDSTONE,HIGHTIDE,-68.092583,44.371417,,WGS84,
USA_MAINE_GRINDSTONE_20180813_MIDTIDE,USA_MAINE_GRINDSTONE_20180813,8/13/2018,Rocky Shore,USA,MAINE,GRINDSTONE,MIDTIDE,-68.092583,44.371417,,WGS84,
USA_MAINE_GRINDSTONE_20180813_HIGHTIDE_R001,USA_MAINE_GRINDSTONE_20180813_HIGHTIDE,8/13/2018,Rocky Shore,USA,MAINE,GRINDSTONE,HIGHTIDE,,,,WGS84,
USA_MAINE_GRINDSTONE_20180813_HIGHTIDE_R002,USA_MAINE_GRINDSTONE_20180813_HIGHTIDE,8/13/2018,Rocky Shore,USA,MAINE,GRINDSTONE,HIGHTIDE,,,,WGS84,
USA_MAINE_GRINDSTONE_20180813_HIGHTIDE_R003,USA_MAINE_GRINDSTONE_20180813_HIGHTIDE,8/13/2018,Rocky Shore,USA,MAINE,GRINDSTONE,HIGHTIDE,,,,WGS84,
USA_MAINE_GRINDSTONE_20180813_HIGHTIDE_R004,USA_MAINE_GRINDSTONE_20180813_HIGHTIDE,8/13/2018,Rocky Shore,USA,MAINE,GRINDSTONE,HIGHTIDE,,,,WGS84,
USA_MAINE_GRINDSTONE_20180813_HIGHTIDE_R005,USA_MAINE_GRINDSTONE_20180813_HIGHTIDE,8/13/2018,Rocky Shore,USA,MAINE,GRINDSTONE,HIGHTIDE,,,,WGS84,
USA_MAINE_GRINDSTONE_20180813_MIDTIDE_R001,USA_MAINE_GRINDSTONE_20180813_MIDTIDE,8/13/2018,Rocky Shore,USA,MAINE,GRINDSTONE,MIDTIDE,,,,WGS84,
USA_MAINE_GRINDSTONE_20180813_MIDTIDE_R002,USA_MAINE_GRINDSTONE_20180813_MIDTIDE,8/13/2018,Rocky Shore,USA,MAINE,GRINDSTONE,MIDTIDE,,,,WGS84,
USA_MAINE_GRINDSTONE_20180813_MIDTIDE_R003,USA_MAINE_GRINDSTONE_20180813_MIDTIDE,8/13/2018,Rocky Shore,USA,MAINE,GRINDSTONE,MIDTIDE,,,,WGS84,
USA_MAINE_GRINDSTONE_20180813_MIDTIDE_R004,USA_MAINE_GRINDSTONE_20180813_MIDTIDE,8/13/2018,Rocky Shore,USA,MAINE,GRINDSTONE,MIDTIDE,,,,WGS84,
USA_MAINE_GRINDSTONE_20180813_MIDTIDE_R005,USA_MAINE_GRINDSTONE_20180813_MIDTIDE,8/13/2018,Rocky Shore,USA,MAINE,GRINDSTONE,MIDTIDE,,,,WGS84,
