eventID,parentEventID,eventDate,habitat,country,locality,site,strata,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,geodeticDatum,pictureID
USA_NORTHERNMA_MARBLEHEAD_20180717,"",2018-07-17,Rocky Shore,USA,NORTHERNMA,MARBLEHEAD,"",-70.843514,42.507237,0.05,WGS84,
USA_NORTHERNMA_PUMPHOUSE_20180716,"",2018-07-16,Rocky Shore,USA,NORTHERNMA,PUMPHOUSE,"",-70.90653,42.4168,0.05,WGS84,
USA_NORTHERNMA_MARBLEHEAD_20180717_HIGHTIDE,USA_NORTHERNMA_MARBLEHEAD_20180717,2018-07-17,Rocky Shore,USA,NORTHERNMA,MARBLEHEAD,HIGHTIDE,-70.843514,42.507237,0.05,WGS84,
USA_NORTHERNMA_MARBLEHEAD_20180717_MIDTIDE,USA_NORTHERNMA_MARBLEHEAD_20180717,2018-07-17,Rocky Shore,USA,NORTHERNMA,MARBLEHEAD,MIDTIDE,-70.843514,42.507237,0.05,WGS84,
USA_NORTHERNMA_PUMPHOUSE_20180716_HIGHTIDE,USA_NORTHERNMA_PUMPHOUSE_20180716,2018-07-16,Rocky Shore,USA,NORTHERNMA,PUMPHOUSE,HIGHTIDE,-70.90653,42.4168,0.05,WGS84,
USA_NORTHERNMA_PUMPHOUSE_20180716_MIDTIDE,USA_NORTHERNMA_PUMPHOUSE_20180716,2018-07-16,Rocky Shore,USA,NORTHERNMA,PUMPHOUSE,MIDTIDE,-70.90653,42.4168,0.05,WGS84,
USA_MASSACHUSETTS_PUMPHOUSE_20180716_HIGHTIDE_R001,USA_MASSACHUSETTS_PUMPHOUSE_20180716_HIGHTIDE,2018-07-16,Rocky Shore,USA,MASSACHUSETTS,PUMPHOUSE,HIGHTIDE,,,,WGS84,""
USA_MASSACHUSETTS_PUMPHOUSE_20180716_HIGHTIDE_R002,USA_MASSACHUSETTS_PUMPHOUSE_20180716_HIGHTIDE,2018-07-16,Rocky Shore,USA,MASSACHUSETTS,PUMPHOUSE,HIGHTIDE,,,,WGS84,""
USA_MASSACHUSETTS_PUMPHOUSE_20180716_HIGHTIDE_R003,USA_MASSACHUSETTS_PUMPHOUSE_20180716_HIGHTIDE,2018-07-16,Rocky Shore,USA,MASSACHUSETTS,PUMPHOUSE,HIGHTIDE,,,,WGS84,""
USA_MASSACHUSETTS_PUMPHOUSE_20180716_HIGHTIDE_R004,USA_MASSACHUSETTS_PUMPHOUSE_20180716_HIGHTIDE,2018-07-16,Rocky Shore,USA,MASSACHUSETTS,PUMPHOUSE,HIGHTIDE,,,,WGS84,""
USA_MASSACHUSETTS_PUMPHOUSE_20180716_HIGHTIDE_R005,USA_MASSACHUSETTS_PUMPHOUSE_20180716_HIGHTIDE,2018-07-16,Rocky Shore,USA,MASSACHUSETTS,PUMPHOUSE,HIGHTIDE,,,,WGS84,""
USA_MASSACHUSETTS_PUMPHOUSE_20180716_MIDTIDE_R001,USA_MASSACHUSETTS_PUMPHOUSE_20180716_MIDTIDE,2018-07-16,Rocky Shore,USA,MASSACHUSETTS,PUMPHOUSE,MIDTIDE,,,,WGS84,""
USA_MASSACHUSETTS_PUMPHOUSE_20180716_MIDTIDE_R002,USA_MASSACHUSETTS_PUMPHOUSE_20180716_MIDTIDE,2018-07-16,Rocky Shore,USA,MASSACHUSETTS,PUMPHOUSE,MIDTIDE,,,,WGS84,""
USA_MASSACHUSETTS_PUMPHOUSE_20180716_MIDTIDE_R003,USA_MASSACHUSETTS_PUMPHOUSE_20180716_MIDTIDE,2018-07-16,Rocky Shore,USA,MASSACHUSETTS,PUMPHOUSE,MIDTIDE,,,,WGS84,""
USA_MASSACHUSETTS_PUMPHOUSE_20180716_MIDTIDE_R004,USA_MASSACHUSETTS_PUMPHOUSE_20180716_MIDTIDE,2018-07-16,Rocky Shore,USA,MASSACHUSETTS,PUMPHOUSE,MIDTIDE,,,,WGS84,""
USA_MASSACHUSETTS_PUMPHOUSE_20180716_MIDTIDE_R005,USA_MASSACHUSETTS_PUMPHOUSE_20180716_MIDTIDE,2018-07-16,Rocky Shore,USA,MASSACHUSETTS,PUMPHOUSE,MIDTIDE,,,,WGS84,""
USA_NORTHERNMA_MARBLEHEAD_20180717_HIGHTIDE_R001,USA_NORTHERNMA_MARBLEHEAD_20180717_HIGHTIDE,2018-07-17,Rocky Shore,USA,NORTHERNMA,MARBLEHEAD,HIGHTIDE,,,,WGS84,""
USA_NORTHERNMA_MARBLEHEAD_20180717_HIGHTIDE_R002,USA_NORTHERNMA_MARBLEHEAD_20180717_HIGHTIDE,2018-07-17,Rocky Shore,USA,NORTHERNMA,MARBLEHEAD,HIGHTIDE,,,,WGS84,""
USA_NORTHERNMA_MARBLEHEAD_20180717_HIGHTIDE_R003,USA_NORTHERNMA_MARBLEHEAD_20180717_HIGHTIDE,2018-07-17,Rocky Shore,USA,NORTHERNMA,MARBLEHEAD,HIGHTIDE,,,,WGS84,""
