Program,Site_ID,Site_Synonyms,Lat,Long,Max_sample_depth_m
SanctSound,FK01,Western Dry Rocks Bar,24.433,-81.931,15
SanctSound,FK02,Eastern Sambo,24.489,-81.666,13
SanctSound,FK03,9FT Stake/eyeglass Bar,24.459,-81.774,25
SanctSound,FK04,Sombrero Reef,24.624,-81.109,15
SFP-MBON,1,N/A,25.633,-80.126,1
SFP-MBON,2,N/A,25.642,-80.106,1
SFP-MBON,3,N/A,25.648,-80.081,1
SFP-MBON,EK-IN,N/A,25.335,-80.224,1
SFP-MBON,EK-MID,N/A,25.315,-80.195,1
SFP-MBON,EK-OFF,N/A,25.296,-80.162,1
SFP-MBON,4,N/A,25.108,-80.38,1
SFP-MBON,5,N/A,25.093,-80.355,1
SFP-MBON,MR,Molasses Reef,25.006,-80.375,18.23
SFP-MBON,UK_OFF,N/A,24.898,-80.529,1
SFP-MBON,UK_MID,N/A,24.922,-80.548,1
SFP-MBON,UK_IN,N/A,24.934,-80.565,1
SFP-MBON,7,N/A,24.816,-80.751,1
SFP-MBON,8,N/A,24.793,-80.741,1
SFP-MBON,9,N/A,24.767,-80.724,28
SFP-MBON,12,N/A,24.714,-80.823,25
SFP-MBON,11,N/A,24.754,-80.847,1
SFP-MBON,10,N/A,24.785,-80.864,1
SFP-MBON,13,N/A,24.702,-81.032,1
SFP-MBON,14,N/A,24.674,-81.023,1
SFP-MBON,15,N/A,24.644,-81.017,1
SFP-MBON,18,N/A,24.58,-81.18,54.26
SFP-MBON,17,N/A,24.635,-81.194,1
SFP-MBON,16,N/A,24.672,-81.205,1
SFP-MBON,19,N/A,24.61,-81.42,1
SFP-MBON,20,N/A,24.418,-81.418,1
SFP-MBON,21,N/A,24.537,-81.411,35.57
SFP-MBON,21.5,Looe Key,24.484,-81.392,1
SFP-MBON,WS,Western Sambo,24.476,-81.714,20.04
SFP-MBON,22.5,N/A,24.398,-81.829,1
SFP-MBON,22,N/A,24.467,-81.828,1
SFP-MBON,23,N/A,24.486,-81.828,1
SFP-MBON,24,N/A,24.536,-81.828,1
SFP-MBON,30,N/A,25.402,-82.21,21.1
SFP-MBON,34,N/A,25.949,-81.767,1
SFP-MBON,33,N/A,25.913,-81.799,1
SFP-MBON,32,N/A,25.851,-81.818,1
SFP-MBON,42,N/A,25.656,-81.718,1
SFP-MBON,41,N/A,25.734,-81.575,1
SFP-MBON,40,N/A,25.759,-81.522,1
SFP-MBON,39,N/A,25.779,-81.487,1
SFP-MBON,45,N/A,25.582,-81.47,1
SFP-MBON,46,N/A,25.583,-81.407,1
SFP-MBON,47,N/A,25.583,-81.363,1
SFP-MBON,48,N/A,25.583,-81.331,1
SFP-MBON,49,N/A,25.583,-81.293,1
SFP-MBON,50,N/A,25.452,-81.348,1
SFP-MBON,51,N/A,25.453,-81.141,1
SFP-MBON,52,N/A,25.454,-81.261,1
SFP-MBON,53,N/A,25.453,-81.226,1
SFP-MBON,54,N/A,25.341,-81.154,1
SFP-MBON,55,N/A,25.351,-81.195,1
SFP-MBON,56,N/A,25.349,-81.225,1
SFP-MBON,57,N/A,25.351,-81.264,1
SFP-MBON,57.1,N/A,25.352,-81.342,1
SFP-MBON,57.2,N/A,25.352,-81.491,4.3
SFP-MBON,57.3,N/A,25.344,-81.654,1
SFP-MBON,58,N/A,25.17,-81.657,1
SFP-MBON,59,N/A,25.165,-81.494,1
SFP-MBON,60,N/A,25.168,-81.336,1
SFP-MBON,61,N/A,25.166,-81.274,1
SFP-MBON,62,N/A,25.167,-81.238,1
SFP-MBON,63,N/A,25.166,-81.198,1
SFP-MBON,65,N/A,25.098,-81.097,1
SFP-MBON,66,N/A,25.054,-81.117,1
SFP-MBON,67,N/A,25.029,-81.124,1
SFP-MBON,68,N/A,24.935,-81.163,1
SFP-MBON,69,N/A,24.93,-81.092,1
SFP-MBON,70,N/A,24.93,-81.026,1
Iconic Reefs,Eastern Dry Rocks,N/A,24.462,-81.843,N/A
Iconic Reefs,Looe Key,N/A,24.548,-81.406,N/A
Iconic Reefs,Newfound Harbor,N/A,24.65,-81.398,N/A
Iconic Reefs,Sombrero Key,N/A,24.626,-81.111,N/A
Iconic Reefs,Cheeca Rocks,N/A,24.904,-80.617,N/A
Iconic Reefs,Horseshoe Reef,N/A,25.139,-80.289,N/A
Iconic Reefs,Carysfort Reef,N/A,25.221,-80.211,N/A
AOAT,Cheeca Rocks,N/A,24.9,-80.62,1
FWC,RHA01,Riley's Hump,24.5013,-83.1324,N/A
FWC,Lion Hydro,Marathon,24.6741,-80.9333,N/A
FWC,LKA01,Key West,24.4337,-81.9652,N/A
FWC,Lion Hydro,Marathon,24.6741,-80.9333,N/A
FWC,Grouper Hydro,Key West,24.4416,-81.9336,N/A
FWC,LKA01,Key West,24.4337,-81.9652,N/A
FWC,RHA04,Riley's Hump,24.4938,-83.1011,N/A
UM,Brickell Key,N/A,25.761566,-80.184266,N/A
UM,Cape Florida Channel,N/A,25.66983,-80.161,N/A
UM,Government Cut,N/A,25.76205,-80.13165,N/A
UM,Arsnickers,N/A,25.42088,-80.28509,N/A
UM,Ceasar Creek Gate B,N/A,25.396167,-80.2367,N/A
UM,Virginia Key,N/A,25.732454,-80.160094,N/A
