Program,Site_ID,Site_Synonyms,Lat,Long,Max_sample_depth_m
SanctSound,FK01,Western Dry Rocks Bar,24.43313,-81.93068,15
SanctSound,FK02,Eastern Sambo,24.4888,-81.666316,13
SanctSound,FK03,9FT Stake/eyeglass Bar,24.45895,-81.774133,25
SanctSound,FK04,Sombrero Reef,24.623748,-81.10854,15
SFP-MBON,1,N/A,25.63333333,-80.12598333,1
SFP-MBON,2,N/A,25.64193333,-80.10566667,1
SFP-MBON,3,N/A,25.6475,-80.0805,1
SFP-MBON,EK-IN,N/A,25.33518333,-80.2243,1
SFP-MBON,EK-MID,N/A,25.31508333,-80.19475,1
SFP-MBON,EK-OFF,N/A,25.29583333,-80.1622,1
SFP-MBON,4,N/A,25.1075,-80.37995,1
SFP-MBON,5,N/A,25.09317,-80.3546,1
SFP-MBON,MR,Molasses Reef,25.00559283,-80.375,18.23
SFP-MBON,UK_OFF,N/A,24.89826667,-80.52903333,1
SFP-MBON,UK_MID,N/A,24.92208333,-80.54753333,1
SFP-MBON,UK_IN,N/A,24.93388333,-80.56456667,1
SFP-MBON,7,N/A,24.81645,-80.7514,1
SFP-MBON,8,N/A,24.79253333,-80.74135,1
SFP-MBON,9,N/A,24.7669,-80.72423333,28
SFP-MBON,12,N/A,24.7144,-80.8225,25
SFP-MBON,11,N/A,24.75445,-80.84698333,1
SFP-MBON,10,N/A,24.78463333,-80.8638,1
SFP-MBON,13,N/A,24.7017,-81.03225,1
SFP-MBON,14,N/A,24.67381667,-81.02288333,1
SFP-MBON,15,N/A,24.64373333,-81.01663333,1
SFP-MBON,18,N/A,24.57953333,-81.17995,54.26
SFP-MBON,17,N/A,24.63456667,-81.19393333,1
SFP-MBON,16,N/A,24.67221667,-81.20485,1
SFP-MBON,19,N/A,24.60968333,-81.4204,1
SFP-MBON,20,N/A,24.41835,-81.41821667,1
SFP-MBON,21,N/A,24.53703333,-81.41145,35.57
SFP-MBON,21.5,Looe Key,24.48365,-81.39176667,1
SFP-MBON,WS,Western Sambo,24.47621667,-81.71416667,20.04
SFP-MBON,22.5,N/A,24.39831667,-81.82886667,1
SFP-MBON,22,N/A,24.46675,-81.82815,1
SFP-MBON,23,N/A,24.4864,-81.82785,1
SFP-MBON,24,N/A,24.53588333,-81.82801667,1
SFP-MBON,30,N/A,25.40182567,-82.21047833,21.1
SFP-MBON,34,N/A,25.94855,-81.76731667,1
SFP-MBON,33,N/A,25.91336667,-81.79856667,1
SFP-MBON,32,N/A,25.8508,-81.81816667,1
SFP-MBON,42,N/A,25.65616667,-81.71781667,1
SFP-MBON,41,N/A,25.73395,-81.57513333,1
SFP-MBON,40,N/A,25.75945,-81.52218333,1
SFP-MBON,39,N/A,25.77906667,-81.48655,1
SFP-MBON,45,N/A,25.58215,-81.47003333,1
SFP-MBON,46,N/A,25.58331667,-81.40748333,1
SFP-MBON,47,N/A,25.58335,-81.36251667,1
SFP-MBON,48,N/A,25.58341667,-81.33106667,1
SFP-MBON,49,N/A,25.58291667,-81.29288333,1
SFP-MBON,50,N/A,25.45223333,-81.34795,1
SFP-MBON,51,N/A,25.45323333,-81.1413,1
SFP-MBON,52,N/A,25.45391667,-81.26083333,1
SFP-MBON,53,N/A,25.45325,-81.22566667,1
SFP-MBON,54,N/A,25.34093333,-81.15424667,1
SFP-MBON,55,N/A,25.35121667,-81.1949,1
SFP-MBON,56,N/A,25.34945,-81.22470833,1
SFP-MBON,57,N/A,25.35105,-81.26363333,1
SFP-MBON,57.1,N/A,25.35236667,-81.342415,1
SFP-MBON,57.2,N/A,25.35153333,-81.4909,4.3
SFP-MBON,57.3,N/A,25.34415,-81.65401667,1
SFP-MBON,58,N/A,25.17011667,-81.6568,1
SFP-MBON,59,N/A,25.16526167,-81.49375,1
SFP-MBON,60,N/A,25.16828333,-81.33575,1
SFP-MBON,61,N/A,25.1663,-81.27428333,1
SFP-MBON,62,N/A,25.16683333,-81.23756667,1
SFP-MBON,63,N/A,25.1661,-81.19785,1
SFP-MBON,65,N/A,25.09848333,-81.0972,1
SFP-MBON,66,N/A,25.05368333,-81.11728333,1
SFP-MBON,67,N/A,25.0289,-81.1242,1
SFP-MBON,68,N/A,24.93491667,-81.16308333,1
SFP-MBON,69,N/A,24.92991667,-81.0918,1
SFP-MBON,70,N/A,24.92998333,-81.02611667,1
