"scientificName"
"Siphonaria lessonii"
"Pyropia orbicularis"
"Chthamalus cirratus"
"Pyropia"
"Austrolittorina araucana"
"Ulva intestinalis"
"Ulva"
"Bacillariophycanae"
"Perumytilus purpuratus"
"Tegula atra"
"Chiton (Chiton) granosus"
"Tetrapygus niger"
"Corallina officinalis"
"Chondria secundata"
"Schottera nicaeensis"
"Lessonia spicata"
"Sarcothalia crispata"
"Corallinales"
"Acanthopleura echinata"
"Tonicia chilensis"
"Acanthina monodon"
"Notochthamalus scabrosus"
"Scurria parasitica"
"Chaetopleura peruviana"
"Crepipatella dilatata"
"Phymactis papillosa"
"Balanus laevis"
"Taliepus dentatus"
"Fissurella costata"
"Anemonia alicemartinae"
"Fissurella"
"Lithothamniaceae"
"Mazzaella laminarioides"
"Capreolia implexa"
"Gelidium chilense"
"Scytosiphon lomentaria"
"Scurria ceciliana"
"Semimytilus algosus"
"Scurria araucana"
"Scurria zebrina"
"Ahnfeltiopsis furcellata"
"Mytilus chilensis"
"Oulactis concinnata"
"Fissurella crassa"
