"scientificName"
"Siphonaria lessonii"
"Scurria ceciliana"
"Pyropia"
"Ulva intestinalis"
"Nothogenia fastigiata"
"Ulva"
"Adenocystis utricularis"
"Notochthamalus scabrosus"
"Bunodactis octoradiata"
"Caepidium antarcticum"
"Protomonostroma undulatum"
"Lithophyllum rugosum"
"Corallina officinalis"
"Nacella magellanica"
"Balanus"
"Colpomenia sinuosa"
"Fissurella picta"
"Pseudechinus magellanicus"
"Mytilus chilensis"
"Nacella deaurata"
"Porphyra"
"Fissurella nigra"
"Tonicia lebruni"
"Perumytilus purpuratus"
"Scytosiphon lomentaria"
"Iridaea tuberculosa"
"Ceramium involutum"
"Bostrychia scorpioides"
