"scientificName"
"Nacella magellanica"
"Scurria araucana"
"Chthamalus cirratus"
"Mazzaella laminarioides"
"Pyropia columbina"
"Ulva"
"Ulva lactuca"
"Centroceras clavulatum"
"Chaetomorpha firma"
"Fissurella crassa"
"Chiton magnificus"
"Corallina officinalis var. chilensis"
"Balanus laevis"
"Lessonia nigrescens"
"Notobalanus flosculus"
"Adenocystis utricularis"
"Tetrapygus niger"
"Phymactis papillosa"
"Tegula atra"
"Hildenbrandia lecannellieri"
"Austromegabalanus psittacus"
"Acanthopleura echinata"
"Phymactis clematis"
"Durvillaea antarctica"
"Fissurella costata"
"Pachycheles grossimanus"
"Stichaster striatus"
"Schottera nicaeensis"
"Semimytilus algosus"
"Pyura chilensis"
"Nothogenia fastigiata"
"Nacella deaurata"
"Montemaria horridula"
"Petalonia fascia"
"Scytosiphon lomentaria"
"Phaeophyceae"
"Rhodophyta"
"Codium dimorphum"
"Nothogenia"
"Polysiphonia"
"Gelidium chilense"
